ime,visina,vrsta,ogledi,mesto_priljubljenosti,stevilo_slik,stevilo_poti,stevilo_gps_sledi,stevilo_vpisov_v_vpisni_knjigi
Matajurski vrh,1936,vrh,351763,804,5,4,0,
Meja,1996,vrh,261850,1143,4,5,0,
Mesnovec,1538,vrh,272949,1098,1,1,0,
Mihov dom na Vršiču,1085,koča,406551,600,6,1,0,1
Mišelj vrh,2350,vrh,506372,281,15,1,2,
Mišeljski Konec,2464,vrh,435011,503,11,1,1,
Mladinski izobraževalni center v Bavšici,725,planina,219506,1306,4,1,0,
Mlina peč,506,vrh,444,2649,4,1,0,
Mojčin dom na Vitrancu,1555,koča,530730,218,13,5,0,2
Montaž / Jôf di Montasio,2753,vrh,673465,56,13,3,0,1
Morbegna,2520,,501447,296,6,3,0,
Možic,1602,vrh,547925,180,11,8,0,1
Mrežce,1965,vrh,555808,162,7,7,1,10
Mrzli vrh (na Matajurju),1358,vrh,445791,463,6,2,0,1
Mrzli vrh nad planino Pretovč,1359,vrh,419188,562,9,3,0,2
Muzec (Musc),1612,vrh,347206,821,5,1,0,1
Na Pečeh,2039,vrh,316667,931,3,1,0,
Nemške glave,1597,vrh,302303,991,2,1,0,
Nizki vrh ,1488,vrh,213884,1329,13,1,0,
Ogradi,2087,vrh,518397,253,10,3,0,1
Okrepčevalnica Slap Voje,745,koča,4280,2112,3,1,0,
Okroglež,1965,vrh,361776,761,7,3,0,7
Orlove glave,1682,vrh,423845,542,4,1,0,1
Orožnova koča na planini za Liscem,1346,"koča, planina",528355,226,9,4,0,
Ožarjeni kamen,960,,4530,2101,7,1,0,1
Partizanska bolnišnica na Mežakli,1050,,186266,1436,3,1,0,
Peč (razgledišče),650,vrh,12420,2001,2,1,0,
Pihavec,2419,vrh,505608,285,6,4,2,1
Planica pod Krnom,1376,vrh,224811,1282,1,2,0,
Planina Bala,1181,planina,249508,1192,3,1,0,
Planina Blatce,888,planina,1695,2326,5,2,0,
Planina Blato,1147,planina,529890,221,4,1,0,
Planina Dedno Polje,1560,planina,460140,418,12,3,0,
Planina Dobrenjščica,1304,planina,282468,1066,2,1,0,
Planina Goričica,1336,planina,371090,731,1,2,0,
Planina Gorjuda,1404,"bivak, planina",195121,1401,2,1,0,
Planina Govnjač,1480,planina,367611,742,6,1,0,
Planina Ilovec,1170,planina,860,2510,6,1,0,
Planina Jezerce,1720,"jezero, planina",419751,559,3,2,0,
Planina Klek,1556,planina,416566,570,8,2,0,
Planina Konjščica,1438,"koča, planina",533416,212,17,5,0,
Planina Krnica,1252,planina,397956,634,3,3,0,
Planina Krstenica,1670,planina,522805,243,11,3,0,2
Planina Laška seč,1000,planina,235051,1248,3,1,0,
Planina Leskovca,1230,planina,362678,758,1,1,0,
Planina Lom,1090,"planina, sedlo",267322,1122,2,1,0,
Planina Lopučnica,1558,planina,249448,1193,3,6,0,
Planina Medrja,1133,planina,213996,1328,3,1,0,
Planina na Kalu,1490,"bivak, planina",278740,1080,16,6,0,1
Planina na Polju,1530,planina,376506,711,5,1,0,
Planina nad Sočo,1400,planina,275552,1089,4,1,0,
Planina Obranica,1035,"koča, planina",265632,1128,6,3,0,
Planina Osredki,1400,"bivak, planina",264040,1137,4,2,0,
Planina Ovčarija,1660,planina,440858,477,7,4,0,
Planina pod Mišelj vrhom,1645,"jezero, planina",387191,673,11,7,0,
Planina Poljana,1466,planina,223560,1289,15,4,0,
Planina Pretovč,1160,"planina, sedlo",251531,1184,3,2,0,
Planina Ravna,1515,"bivak, planina, cerkev",182150,1454,5,1,0,
Planina Ravne,956,planina,2098,2260,4,1,0,
Planina Rčitno,900,planina,270621,1109,16,4,0,
Planina Sleme,1448,"planina, sedlo",365186,749,3,2,0,
Planina Spodnja Grintovica,1175,planina,357378,781,2,2,0,
Planina Strehica,1359,planina,157386,1550,3,1,0,
Planina Suha,1385,planina,396745,641,8,5,0,1
Planina v Lazu,1560,planina,456047,433,10,2,0,
Planina v Plazeh,1548,"planina, sedlo",243032,1214,5,2,0,
Planina v Prodih,1070,planina,1730,2317,4,1,0,
Planina Viševnik,1625,"koča, planina",515882,258,14,4,0,1
Planina Vodični vrh,1486,planina,305821,972,4,1,0,1
Planina za Jamo,1005,planina,229642,1267,3,1,0,
Planina za Migovcem,1600,planina,232063,1255,3,5,0,1
Planina Za skalo,1510,planina,357090,782,8,1,0,
Planina Za Črno goro,1340,planina,318911,922,8,6,0,1
Planina za Šavnikom,1320,"bivak, planina",322790,910,4,1,0,
Planina Zadnji Vogel,1413,planina,386222,678,4,2,0,1
Planina Zagreben,1240,planina,1630,2338,10,1,0,
Planina Zajamniki,1280,"koča, planina",628787,89,9,3,0,
Planina Zajavornik,1292,planina,451261,445,8,1,0,
Planina Zapotok,1385,planina,232,2756,8,1,0,
Planina Zaprikraj,1208,planina,388296,670,2,1,0,
Planina Zgornja Grintovica,1250,planina,372689,723,10,2,0,
Planina Zgornja Krma,1720,planina,458510,427,6,1,1,3
Planina Zgornji Kozjek,1230,planina,502,2624,6,1,0,
Planina Črča,800,planina,196377,1395,2,1,0,
Planinska koča Merjasec,1535,koča,435986,499,6,3,0,4
Planinsko zavetišče Slatna,1023,koča,1160,2443,3,1,0,1
Planja (nad Mangartsko planino),1553,vrh,1010,2472,4,1,0,
Planja,2453,vrh,492936,314,4,4,0,4
Plaski Vogel,2348,vrh,396158,644,4,1,1,
Plesišče,1790,vrh,298840,1009,2,1,0,4
Plešivec (Loška stena),2184,vrh,392712,655,4,2,0,1
Plešivec,1962,vrh,65,2887,1,1,0,
Podrta gora,2061,vrh,13480,1999,3,3,0,
Pogačnikov dom na Kriških podih,2050,"vrh, koča, bivak",748997,34,8,4,0,9
Poglejska cerkev,630,,243900,1209,2,1,0,
Pokljuška soteska (luknja),830,,310016,959,4,1,0,
Poldašnja špica/Jof di Miezegnot,2087,vrh,428760,526,11,3,0,
Poldnik (Kopa) / Picco di Mezzodi,2063,vrh,2290,2243,3,1,0,
Police,1184,vrh,1947,2281,3,1,0,
Poljanska baba,830,vrh,224792,1283,8,1,0,
Poljanski vrh,1897,vrh,249581,1189,4,4,0,
Poprovec,2496,vrh,366211,745,7,3,0,1
Počitniški dom v Možnici,793,"koča, bivak",323878,904,3,1,0,
Poštarski dom na Vršiču,1688,koča,462968,406,10,6,0,8
Požar,1543,vrh,208731,1351,1,2,0,2
Požgana Mlinarica,1868,vrh,355309,791,6,3,0,
Prednje Robičje,1941,vrh,339051,849,5,2,0,
Prestreljenik,2499,vrh,527910,227,8,7,0,1
Prestreljeniško okno,2391,,16710,1986,7,3,0,1
Prevalski Stog,2075,vrh,436570,497,10,5,0,1
Pri Banderi,1974,vrh,201788,1374,4,1,0,
Pri treh macesnih,1810,,336649,859,5,1,0,
Prisank / Prisojnik,2547,vrh,790619,22,17,12,0,3
Prvi Vogel,2181,vrh,378980,700,4,2,0,
Pršivec,1761,vrh,582575,134,9,7,0,2
Rakova Špica,2545,vrh,7304,2041,5,0,0,
Raskovec,1967,vrh,357680,779,6,6,0,1
Razor,2601,vrh,690085,51,18,5,2,4
Rdeči rob,1913,vrh,381717,692,8,3,0,1
Rečiška planina,1265,planina,693,2558,5,4,0,
Ribenska gora,588,vrh,180993,1457,4,1,0,
Rifugio Brunner,1432,koča,722,2548,9,1,0,
Rifugio Cinque Punte,1520,bivak,243379,1212,4,1,0,
Rifugio Corsi,1874,koča,383371,685,4,4,1,1
Rifugio di Brazza,1660,"koča, bivak",375812,712,2,1,0,1
Rifugio Gilberti,1850,koča,351295,806,2,2,0,
Rifugio Grego,1389,koča,283412,1064,2,1,0,
Rifugio Pellarini,1499,koča,273907,1095,2,1,0,1
Rifugio Zacchi,1380,koča,370690,735,3,1,0,
Rigeljc,1768,vrh,211769,1337,2,1,0,
Rigljica,2074,vrh,334885,871,0,1,0,
Rio Bianco / Beli potok,770,slap,160538,1536,4,0,0,
Risnati rob (Polevec),1438,vrh,540,2603,1,2,0,
Rjavina,2532,vrh,604579,106,24,9,3,2
Rjavo jezero,2006,jezero,448801,452,8,4,0,
Rodica,1966,vrh,644773,70,9,9,3,8
Rogljica,2547,vrh,398445,632,5,1,0,
Rombon,2208,vrh,643505,72,9,5,3,3
Rudnica,946,vrh,450252,446,14,8,0,2
Ruska kapelica,1130,cerkev,347507,818,5,1,0,1
Rutarski Vršič,1699,vrh,338521,853,4,2,1,1
Rušnata glava,1899,vrh,341247,840,2,2,0,
Rušnata Mlinarica,1777,vrh,278368,1083,6,2,1,1
Rušnati vrh,1915,vrh,237708,1240,2,3,0,
